131	U+1F49C	💜	purple heart
132	U+1F5A4	🖤	black heart
133	U+1F4AF	💯	hundred points
134	U+1F4A2	💢	anger symbol
135	U+1F4A5	💥	collision
136	U+1F4AB	💫	dizzy
137	U+1F4A6	💦	sweat droplets
138	U+1F4A8	💨	dashing away
139	U+1F573	🕳	hole
140	U+1F4A3	💣	bomb
141	U+1F4AC	💬	speech balloon
142	U+1F441
U+FE0F U+200D U+1F5E8 U+FE0F	👁️‍🗨️	eye in speech bubble
143	U+1F5E8	🗨	left speech bubble
144	U+1F5EF	🗯	right anger bubble
145	U+1F4AD	💭	thought balloon
146	U+1F4A4	💤	zzz
147	U+1F44B	👋	waving hand
148	U+1F91A	🤚	raised back of hand
149	U+1F590	🖐	hand with fingers splayed
150	U+270B	✋	raised hand
151	U+1F596	🖖	vulcan salute
152	U+1F44C	👌	OK hand
153	U+270C	✌	victory hand
154	U+1F91E	🤞	crossed fingers
155	U+1F91F	🤟	love-you gesture
156	U+1F918	🤘	sign of the horns
157	U+1F919	🤙	call me hand
158	U+1F448	👈	backhand index pointing left
159	U+1F449	👉	backhand index pointing right
160	U+1F446	👆	backhand index pointing up
161	U+1F595	🖕	middle finger
162	U+1F447	👇	backhand index pointing down
163	U+261D	☝	index pointing up
164	U+1F44D	👍	thumbs up
165	U+1F44E	👎	thumbs down
166	U+270A	✊	raised fist
167	U+1F44A	👊	oncoming fist
168	U+1F91B	🤛	left-facing fist
169	U+1F91C	🤜	right-facing fist
170	U+1F44F	👏	clapping hands
171	U+1F64C	🙌	raising hands
172	U+1F450	👐	open hands
173	U+1F932	🤲	palms up together
174	U+1F91D	🤝	handshake
175	U+1F64F	🙏	folded hands
176	U+270D	✍	writing hand
177	U+1F485	💅	nail polish
178	U+1F933	🤳	selfie
179	U+1F4AA	💪	flexed biceps
180	U+1F9B5	🦵	⊛ leg
181	U+1F9B6	🦶	⊛ foot
182	U+1F442	👂	ear
183	U+1F443	👃	nose
184	U+1F9E0	🧠	brain
185	U+1F9B7	🦷	⊛ tooth
186	U+1F9B4	🦴	⊛ bone
187	U+1F440	👀	eyes
188	U+1F441	👁	eye
189	U+1F445	👅	tongue
190	U+1F444	👄	mouth
191	U+1F476	👶	baby
192	U+1F9D2	🧒	child
193	U+1F466	👦	boy
194	U+1F467	👧	girl
195	U+1F9D1	🧑	person
196	U+1F471	👱	person: blond hair
197	U+1F468	👨	man
198	U+1F9D4	🧔	man: beard
199	U+1F471 U+200D U+2642 U+FE0F	👱‍♂️	man: blond hair
200	U+1F468 U+200D U+1F9B0	👨‍🦰	⊛ man: red hair
201	U+1F468 U+200D U+1F9B1	👨‍🦱	⊛ man: curly hair
202	U+1F468 U+200D U+1F9B3	👨‍🦳	⊛ man: white hair
203	U+1F468 U+200D U+1F9B2	👨‍🦲	⊛ man: bald
204	U+1F469	👩	woman
205	U+1F471 U+200D U+2640 U+FE0F	👱‍♀️	woman: blond hair
206	U+1F469 U+200D U+1F9B0	👩‍🦰	⊛ woman: red hair
207	U+1F469 U+200D U+1F9B1	👩‍🦱	⊛ woman: curly hair
208	U+1F469
U+200D U+1F9B3	👩‍🦳	⊛ woman: white hair
209	U+1F469
U+200D U+1F9B2	👩‍🦲	⊛ woman: bald
210	U+1F9D3	🧓	older person
No.	Code	Emoji	Description
211	U+1F474	👴	old man
212	U+1F475	👵	old woman
person-gesture
No.	Code	Emoji	Description
213	U+1F64D	🙍	person frowning
214	U+1F64D
U+200D U+2642 U+FE0F	🙍‍♂️	man frowning
215	U+1F64D
U+200D U+2640 U+FE0F	🙍‍♀️	woman frowning
216	U+1F64E	🙎	person pouting
217	U+1F64E
U+200D U+2642 U+FE0F	🙎‍♂️	man pouting
218	U+1F64E U+200D U+2640 U+FE0F	🙎‍♀️	woman pouting
219	U+1F645	🙅	person gesturing NO
220	U+1F645 U+200D U+2642 U+FE0F	🙅‍♂️	man gesturing NO
221	U+1F645 U+200D U+2640 U+FE0F	🙅‍♀️	woman gesturing NO
222	U+1F646	🙆	person gesturing OK
223	U+1F646
U+200D U+2642 U+FE0F	🙆‍♂️	man gesturing OK
224	U+1F646
U+200D U+2640 U+FE0F	🙆‍♀️	woman gesturing OK
225	U+1F481	💁	person tipping hand
226	U+1F481
U+200D U+2642 U+FE0F	💁‍♂️	man tipping hand
227	U+1F481
U+200D U+2640 U+FE0F	💁‍♀️	woman tipping hand
228	U+1F64B	🙋	person raising hand
229	U+1F64B
U+200D U+2642 U+FE0F	🙋‍♂️	man raising hand
230	U+1F64B
U+200D U+2640 U+FE0F	🙋‍♀️	woman raising hand
231	U+1F647	🙇	person bowing
232	U+1F647
U+200D U+2642 U+FE0F	🙇‍♂️	man bowing
